id,vp_x,vp_y,vp_z,euler_1,euler_2,euler_3,increment,n0_x,n0_y,n0_z,n1_x,n1_y,n1_z,n2_x,n2_y,n2_z,n3_x,n3_y,n3_z,n4_x,n4_y,n4_z,n5_x,n5_y,n5_z,n6_x,n6_y,n6_z,n7_x,n7_y,n7_z,n8_x,n8_y,n8_z,n9_x,n9_y,n9_z,n10_x,n10_y,n10_z,n11_x,n11_y,n11_z,n12_x,n12_y,n12_z,n13_x,n13_y,n13_z,n14_x,n14_y,n14_z,n15_x,n15_y,n15_z,n16_x,n16_y,n16_z,n17_x,n17_y,n17_z,n18_x,n18_y,n18_z,n19_x,n19_y,n19_z,n20_x,n20_y,n20_z,n21_x,n21_y,n21_z,n22_x,n22_y,n22_z,n23_x,n23_y,n23_z,n24_x,n24_y,n24_z
000010,0.508555,0.700295,0.508078,260.404,69.139,78.3409,0.0005,0.509165,0.788369,0.34529,-0.638946,0.676654,0.365907,0,0,0,0,0,0,0.995143,0.0970044,-0.0167637,-0.113026,0.941504,-0.317482,0,0,0,0.626811,0.741622,-0.238967,-0.776439,0.593736,-0.211234,0.702546,0.296112,0.647107,-0.712349,0.162616,0.682726,-0.0789164,0.896854,0.43523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865797,0.470371,0.170721,-0.93404,0.295091,0.201222,-0.927692,0.0991955,-0.359926,0.874518,0.278585,-0.397,0.196981,0.980336,-0.0118087,-0.399453,0.916753,-0.00135042,-0.40004,0.724754,-0.560981,0,0,0
000011,0.502121,0.708542,0.508215,260.404,69.139,78.3409,0.0005,0.509529,0.787101,0.347637,-0.635117,0.672577,0.379823,0,0,0,0,0,0,0.994885,0.0969793,-0.0282589,-0.113465,0.945527,-0.30513,0,0,0,0.627347,0.74148,-0.237997,-0.778869,0.596237,-0.194588,0.705417,0.296777,0.64367,-0.707557,0.160504,0.688187,-0.0785297,0.892028,0.445106,0,0,0,0,0,0,-0.332259,0.54984,0.766342,0,0,0,0,0,0,0.866776,0.470331,0.165793,-0.931057,0.29415,0.215889,-0.93204,0.100161,-0.348236,0.871999,0.277265,-0.403414,0.197486,0.980303,-0.00231012,-0.399408,0.916648,0.0151481,-0.403528,0.730135,-0.551424,0,0,0
000012,0.503901,0.706898,0.505808,260.404,69.139,78.3409,0.0005,0.508308,0.787062,0.349509,-0.635636,0.67313,0.377972,0,0,0,0,0,0,0.994965,0.0969871,-0.0252602,-0.113332,0.944306,-0.308936,0,0,0,0.626888,0.741713,-0.238481,-0.778089,0.595636,-0.19949,0.702844,0.296237,0.646726,-0.707,0.161403,0.688549,-0.0785475,0.89225,0.444658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86617,0.470573,0.168258,-0.931821,0.293867,0.212959,-0.930351,0.0994783,-0.352919,0.872039,0.277802,-0.402956,0.197484,0.980297,-0.00430975,-0.399427,0.916691,0.0116488,-0.402647,0.727462,-0.555585,0,0,0
000013,0.50533,0.706838,0.506039,260.404,69.139,78.3409,0.0005,0.508535,0.786498,0.350447,-0.636152,0.67368,0.37612,0,0,0,0,0,0,0.995036,0.096994,-0.0222614,-0.113298,0.943999,-0.309887,0,0,0,0.627121,0.741983,-0.237025,-0.777467,0.595788,-0.20145,0.702441,0.295526,0.647488,-0.708007,0.161632,0.68746,-0.0785653,0.892471,0.444211,0,0,0,0.265645,0.606312,0.749546,0,0,0,0,0,0,0,0,0,0.865797,0.470371,0.170721,-0.932175,0.294503,0.210516,-0.92947,0.0993847,-0.355257,0.872997,0.278104,-0.400667,0.197485,0.9803,-0.00330992,-0.399434,0.916706,0.0101489,-0.401638,0.727699,-0.556005,0,0,0
000014,0.502828,0.705008,0.500584,260.404,69.139,78.3409,0.0005,0.508727,0.78679,0.34951,-0.634857,0.6723,0.380748,0,0,0,0,0,0,0.994899,0.0969807,-0.0277591,-0.113129,0.942447,-0.314636,0,0,0,0.626326,0.740291,-0.244304,-0.777771,0.595391,-0.201449,0.700559,0.295819,0.649391,-0.702959,0.160487,0.692888,-0.0784763,0.891361,0.446449,0,0,0,0.266703,0.602555,0.752195,-0.330933,0.545706,0.769863,0,0,0,0,0,0,0.866391,0.470692,0.166779,-0.930954,0.294118,0.216378,-0.929647,0.0994034,-0.35479,0.869675,0.27653,-0.408896,0.197481,0.980283,-0.00680937,-0.398975,0.916906,0.010149,-0.401488,0.724277,-0.560561,0,0,0
000015,0.506357,0.707031,0.503699,260.404,69.139,78.3409,0.0005,0.507537,0.785887,0.353254,-0.635894,0.673405,0.377046,0,0,0,0,0,0,0.995078,0.0969981,-0.0202622,-0.113265,0.94369,-0.310837,0,0,0,0.627579,0.74175,-0.23654,-0.777369,0.595082,-0.203898,0.69966,0.295441,0.650531,-0.707447,0.160992,0.688187,-0.0784941,0.891584,0.446001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865419,0.470167,0.173183,-0.932376,0.294566,0.209539,-0.928281,0.0987553,-0.358527,0.872997,0.278104,-0.400667,0.197486,0.980302,-0.00281002,-0.399434,0.916706,0.0101489,-0.400974,0.726475,-0.55808,0,0,0
000016,0.505504,0.70487,0.509792,260.404,69.139,78.3409,0.0005,0.508881,0.787935,0.346697,-0.637668,0.674563,0.371946,0,0,0,0,0,0,0.995036,0.096994,-0.0222614,-0.113298,0.943999,-0.309887,0,0,0,0.627121,0.741983,-0.237025,-0.777915,0.594871,-0.202429,0.704823,0.296528,0.644435,-0.711127,0.161827,0.684186,-0.0787418,0.894674,0.439726,0,0,0,0.26839,0.608776,0.746564,0,0,0,0,0,0,0,0,0,0.86617,0.470573,0.168258,-0.932674,0.29466,0.208072,-0.930175,0.0994596,-0.353387,0.873911,0.277869,-0.398834,0.197482,0.980286,-0.00630944,-0.399442,0.916726,0.00764911,-0.402473,0.728191,-0.554756,0,0,0
000017,0.504629,0.707213,0.505796,260.404,69.139,78.3409,0.0005,0.508116,0.786769,0.350446,-0.635894,0.673405,0.377046,0,0,0,0,0,0,0.995013,0.0969918,-0.023261,-0.113332,0.944306,-0.308936,0,0,0,0.627043,0.741893,-0.23751,-0.778234,0.595117,-0.20047,0.702247,0.295986,0.647488,-0.707336,0.161479,0.688186,-0.0785297,0.892028,0.445106,0,0,0,0.26808,0.604409,0.750215,0,0,0,0,0,0,0,0,0,0.866186,0.470013,0.169736,-0.931873,0.294408,0.211982,-0.929946,0.0999381,-0.353855,0.872575,0.277447,-0.402041,0.197485,0.9803,-0.00330992,-0.399429,0.916696,0.0111488,-0.402209,0.727703,-0.555587,0,0,0
000018,0.507208,0.705404,0.506653,260.404,69.139,78.3409,0.0005,0.508116,0.786769,0.350446,-0.637177,0.674771,0.372411,0,0,0,0,0,0,0.995156,0.0965034,-0.0187628,-0.113248,0.943536,-0.311313,0,0,0,0.627275,0.742163,-0.236053,-0.777126,0.594895,-0.205366,0.701844,0.295274,0.64825,-0.710125,0.161599,0.685279,-0.0791519,0.893532,0.441968,0,0,0,0.267169,0.606045,0.74922,0,0,0,0,0,0,0,0,0,0.86581,0.46981,0.172199,-0.93322,0.294308,0.206116,-0.928406,0.0992715,-0.35806,0.874139,0.278465,-0.397917,0.197484,0.980294,-0.00480966,-0.399445,0.916733,0.00664916,-0.402288,0.725752,-0.558075,0,0,0
000019,0.509889,0.709525,0.504721,260.404,69.139,78.3409,0.0005,0.506981,0.784129,0.357927,-0.636666,0.674227,0.374266,0,0,0,0,0,0,0.995153,0.0975077,-0.0127658,-0.113861,0.944554,-0.307984,0,0,0,0.628336,0.743397,-0.229248,-0.776659,0.595166,-0.206345,0.697558,0.294556,0.653185,-0.71057,0.161188,0.684915,-0.0784226,0.890693,0.44779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864808,0.468701,0.180071,-0.933708,0.294462,0.203669,-0.926561,0.0995779,-0.362723,0.875801,0.278466,-0.394246,0.196997,0.980402,0.00218865,-0.399434,0.916706,0.0101489,-0.401545,0.726479,-0.557664,0,0,0
000020,0.502245,0.700511,0.505141,143.788,91.0961,68.9495,0.0005,0.53414,0.767989,0.353394,-0.617045,0.694026,0.370922,0,0,0,0,0,0,0.998005,0.0610508,-0.0160993,-0.0747784,0.947056,-0.31224,0,0,0,0.655253,0.718032,-0.234678,-0.75292,0.624368,-0.208028,0.706918,0.267197,0.654883,-0.708492,0.182153,0.681806,-0.0520218,0.894708,0.443613,0,0,0,0,0,0,-0.323718,0.556419,0.765248,0,0,0,0,0,0,0.88175,0.437865,0.175472,-0.923157,0.325981,0.203758,-0.922092,0.135481,-0.362481,0.884512,0.248038,-0.395116,0.232972,0.972471,-0.00495663,-0.365602,0.930755,0.00556729,0,0,0,0,0,0
000021,0.507174,0.707199,0.505867,143.788,91.0961,68.9495,0.0005,0.531761,0.764618,0.364128,-0.616426,0.694079,0.371851,0,0,0,0,0,0,0.998116,0.0610576,-0.00610115,-0.0749668,0.949821,-0.303678,0,0,0,0.657346,0.72029,-0.221536,-0.753079,0.623849,-0.209006,0.702921,0.265689,0.659782,-0.711457,0.182911,0.678508,-0.0523639,0.891556,0.449873,0,0,0,0.277905,0.590493,0.757685,0,0,0,0,0,0,0,0,0,0.879715,0.43686,0.187763,-0.924033,0.32682,0.198371,-0.919741,0.135137,-0.368531,0.888645,0.249187,-0.384989,0.23297,0.972458,0.00704204,-0.366051,0.930529,0.0110669,0,0,0,0,0,0
000022,0.501322,0.706778,0.507696,143.788,91.0961,68.9495,0.0005,0.532807,0.766968,0.357599,-0.615187,0.692677,0.376488,0,0,0,0,0,0,0.997988,0.0610498,-0.0170991,-0.0749874,0.950123,-0.302725,0,0,0,0.655615,0.719893,-0.227866,-0.754175,0.625413,-0.200197,0.708013,0.267076,0.653749,-0.7094,0.181353,0.681075,-0.0518986,0.892257,0.448535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881513,0.437748,0.176949,-0.922479,0.325741,0.207184,-0.923696,0.135716,-0.358283,0.88546,0.248302,-0.392818,0.232974,0.972475,0.0040426,-0.365567,0.930663,0.0150664,0,0,0,0,0,0
000023,0.508705,0.708497,0.508795,143.788,91.0961,68.9495,0.0005,0.531551,0.76432,0.365059,-0.617161,0.694912,0.369065,0,0,0,0,0,0,0.99816,0.0605595,-0.00310206,-0.0750283,0.950725,-0.300819,0,0,0,0.658017,0.721014,-0.217147,-0.75276,0.624234,-0.209006,0.703053,0.266273,0.659405,-0.714531,0.183181,0.675196,-0.0518873,0.892033,0.448982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879069,0.437099,0.190217,-0.924849,0.326578,0.19494,-0.919558,0.13511,-0.368995,0.890439,0.249167,-0.380833,0.232964,0.972434,0.0100412,-0.366047,0.930518,0.0120668,0,0,0,0,0,0
000024,0.505987,0.70918,0.506624,143.788,91.0961,68.9495,0.0005,0.531141,0.764606,0.365057,-0.616182,0.693049,0.37417,0,0,0,0,0,0,0.998101,0.0610567,-0.00810068,-0.0750283,0.950725,-0.300819,0,0,0,0.657127,0.720789,-0.22056,-0.753077,0.625149,-0.205093,0.703538,0.265922,0.65903,-0.711376,0.181859,0.678875,-0.0518307,0.890909,0.451214,0,0,0,0.277905,0.590493,0.757685,0,0,0,0,0,0,0,0,0,0.879883,0.436943,0.186781,-0.923563,0.326654,0.200821,-0.920831,0.135296,-0.36574,0.888273,0.249084,-0.385911,0.232964,0.972434,0.0100412,-0.366032,0.93048,0.0150663,0,0,0,0,0,0
000025,0.503818,0.700364,0.509265,143.788,91.0961,68.9495,0.0005,0.534445,0.768421,0.35199,-0.617649,0.695464,0.367205,0,0,0,0,0,0,0.998049,0.0610535,-0.0130998,-0.0748208,0.947677,-0.310339,0,0,0,0.655147,0.719389,-0.230786,-0.75276,0.624234,-0.209006,0.708625,0.267306,0.652992,-0.712566,0.182679,0.677405,-0.0520994,0.896253,0.440473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881593,0.437787,0.176457,-0.924012,0.326283,0.199351,-0.922092,0.135481,-0.362481,0.886592,0.248616,-0.390058,0.232973,0.972475,-0.00395669,-0.365604,0.930761,0.00406735,0,0,0,0,0,0
000026,0.504998,0.701817,0.501182,143.788,91.0961,68.9495,0.0005,0.53229,0.766235,0.359932,-0.616799,0.693747,0.371851,0,0,0,0,0,0,0.998078,0.0610553,-0.0106002,-0.0747571,0.946744,-0.313189,0,0,0,0.655069,0.719304,-0.231273,-0.751874,0.624147,-0.212428,0.702126,0.265924,0.660532,-0.707955,0.1815,0.682538,-0.0519324,0.892928,0.447194,0,0,0,0.278481,0.58938,0.75834,0,0,0,0,0,0,0,0,0,0.880931,0.436903,0.181868,-0.923468,0.326621,0.20131,-0.919558,0.13511,-0.368995,0.885271,0.248249,-0.393278,0.232975,0.972482,-0.00145685,-0.366067,0.930572,0.00556726,0,0,0,0,0,0
000027,0.505121,0.701109,0.506576,143.788,91.0961,68.9495,0.0005,0.533629,0.767265,0.355732,-0.617405,0.695189,0.368135,0,0,0,0,0,0,0.998083,0.0610556,-0.0101003,-0.0747997,0.947367,-0.31129,0,0,0,0.655673,0.719221,-0.229814,-0.752118,0.62435,-0.210962,0.705692,0.266734,0.656393,-0.711581,0.182427,0.678508,-0.052044,0.89515,0.442716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88073,0.437919,0.180392,-0.92394,0.326787,0.198861,-0.920758,0.135791,-0.36574,0.886726,0.248135,-0.390058,0.232974,0.972478,-0.00295675,-0.36607,0.930579,0.00406734,0,0,0,0,0,0
000028,0.50267,0.703828,0.509027,143.788,91.0961,68.9495,0.0005,0.533834,0.767555,0.354797,-0.616922,0.693887,0.371386,0,0,0,0,0,0,0.99802,0.0610518,-0.0150995,-0.0749151,0.94906,-0.306059,0,0,0,0.65546,0.719726,-0.22884,-0.753234,0.62528,-0.204114,0.707966,0.268127,0.65337,-0.711252,0.182343,0.678875,-0.0520107,0.894486,0.444061,0,0,0,0.280479,0.594708,0.753429,-0.325348,0.557241,0.763957,0,0,0,0,0,0,0.881513,0.437748,0.176949,-0.923087,0.326486,0.203269,-0.922985,0.135612,-0.360149,0.886215,0.248512,-0.390978,0.232975,0.972483,4.30431e-05,-0.366055,0.930539,0.010067,0,0,0,0,0,0
000029,0.500637,0.703851,0.508235,143.788,91.0961,68.9495,0.0005,0.53414,0.767989,0.353394,-0.615808,0.693381,0.374171,0,0,0,0,0,0,0.997952,0.0610476,-0.0190988,-0.0749151,0.94906,-0.306059,0,0,0,0.655729,0.718545,-0.231761,-0.753943,0.62522,-0.201666,0.709059,0.268005,0.652234,-0.709152,0.182322,0.681074,-0.0519883,0.894042,0.444956,0,0,0,0.280027,0.594922,0.753427,0,0,0,0,0,0,0,0,0,0.882063,0.438019,0.173503,-0.922312,0.326213,0.207184,-0.923977,0.136262,-0.357349,0.884702,0.248091,-0.394656,0.232975,0.972483,-0.000456918,-0.365585,0.930712,0.0110669,0,0,0,0,0,0
000030,0.505467,0.70557,0.502855,157.768,164.991,212.065,0.0005,0.502756,0.780357,0.371859,-0.64,0.656759,0.398832,0,0,0,0,0,0,0.994027,0.106711,-0.0228803,-0.122554,0.950769,-0.284638,0,0,0,0.619524,0.753514,-0.220014,-0.782997,0.594297,-0.183648,0.700208,0.282503,0.655668,0,0,0,-0.084631,0.878162,0.470818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862385,0.472675,0.181303,-0.933986,0.279762,0.222269,-0.930761,0.101298,-0.351315,0.868075,0.296434,-0.398212,0.188853,0.981746,0.0225703,-0.407337,0.912552,0.0364025,-0.409646,0.737574,-0.53682,0,0,0
000031,0.500351,0.705873,0.503198,157.768,164.991,212.065,0.0005,0.503666,0.78175,0.367678,-0.638322,0.65503,0.404327,-0.645661,0.316206,-0.69508,0,0,0,0.99375,0.106681,-0.0328758,-0.122604,0.951192,-0.2832,0,0,0,0.618353,0.752892,-0.225375,-0.78414,0.595169,-0.175779,0.703543,0.283846,0.651505,-0.702296,0.133029,0.699345,-0.0845895,0.877692,0.4717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86339,0.473792,0.173431,-0.931921,0.279144,0.23152,-0.933867,0.101634,-0.342874,0.86493,0.296948,-0.404622,0.18886,0.981778,0.0210709,-0.406803,0.912578,0.0413986,-0.41067,0.739453,-0.533441,0,0,0
000032,0.503553,0.702028,0.507205,157.768,164.991,212.065,0.0005,0.504467,0.782974,0.363956,-0.641602,0.657692,0.394701,-0.644776,0.318,-0.695083,0,0,0,0.993928,0.1067,-0.0268787,-0.12247,0.950059,-0.287033,0,0,0,0.618883,0.752747,-0.224401,-0.783445,0.59401,-0.182665,0.704262,0.284674,0.650366,-0.707337,0.134492,0.693965,-0.0849396,0.881654,0.464188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863238,0.473709,0.174416,-0.93388,0.27973,0.222756,-0.932786,0.10202,-0.345691,0.867536,0.296779,-0.399129,0.188876,0.981861,0.0165721,-0.406929,0.912867,0.0329049,-0.409721,0.738757,-0.535133,0,0,0
000033,0.501212,0.701777,0.509255,157.768,164.991,212.065,0.0005,0.50526,0.784186,0.360227,-0.641326,0.657408,0.395619,0,0,0,0,0,0,0.99376,0.107185,-0.0308768,-0.122521,0.950486,-0.285596,0,0,0,0.618594,0.752401,-0.22635,-0.78402,0.594448,-0.178731,0.707456,0.285422,0.64656,0,0,0,-0.0850007,0.882347,0.462859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863918,0.47408,0.169983,-0.933378,0.279058,0.22568,-0.934493,0.102205,-0.340995,0.86675,0.295983,-0.40142,0.188881,0.981884,0.0150724,-0.406916,0.912836,0.0339043,-0.410925,0.739921,-0.532595,0,0,0
000034,0.50336,0.70564,0.509246,157.768,164.991,212.065,0.0005,0.504488,0.782092,0.365819,-0.641409,0.656775,0.396537,0,0,0,0,0,0,0.993928,0.1067,-0.0268787,-0.122687,0.951892,-0.280802,0,0,0,0.618822,0.754234,-0.219525,-0.783788,0.5949,-0.178239,0.704864,0.284917,0.649606,0,0,0,-0.0848167,0.880263,0.466843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863007,0.473583,0.175892,-0.933666,0.279666,0.223731,-0.933526,0.101597,-0.343813,0.868478,0.297099,-0.396835,0.188858,0.981768,0.0215707,-0.407315,0.912501,0.0379014,-0.411433,0.740855,-0.530901,0,0,0
000035,0.509353,0.702424,0.50657,157.768,164.991,212.065,0.0005,0.503263,0.781133,0.369537,-0.643239,0.65938,0.389182,0,0,0,0,0,0,0.994169,0.106726,-0.0153838,-0.122437,0.949774,-0.287991,0,0,0,0.619488,0.754252,-0.217575,-0.78188,0.593446,-0.191015,0.700512,0.282625,0.65529,-0.710643,0.135627,0.690356,-0.0854169,0.881376,0.464629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861582,0.472807,0.184743,-0.936212,0.279905,0.21251,-0.929126,0.101623,-0.355524,0.870739,0.298396,-0.390862,0.188868,0.981817,0.0190715,-0.407435,0.912776,0.0289068,-0.409003,0.736393,-0.538927,0,0,0
000036,0.501132,0.709221,0.502617,157.768,164.991,212.065,0.0005,0.502234,0.780473,0.372322,-0.638116,0.654099,0.406155,-0.644997,0.317552,-0.695082,0,0,0,0.993813,0.106688,-0.0308768,-0.122736,0.952309,-0.279362,0,0,0,0.618996,0.753663,-0.220989,-0.784884,0.594478,-0.174794,0.70203,0.283236,0.6534,-0.701329,0.134372,0.700059,-0.0844017,0.875569,0.475663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862774,0.473456,0.177369,-0.932064,0.278665,0.231521,-0.933472,0.102094,-0.343813,0.866018,0.296262,-0.402793,0.188837,0.981662,0.0260687,-0.406733,0.912419,0.0453944,-0.410868,0.740864,-0.531327,0,0,0
